dataset,site,date_year_month,intermittent_perennial,before_after,month,Lat,Long,County,State,TKN,NO3,NH3,TP,Fecal,Chloride,Turbidity,DO,Cond,pH,TempW,TempA,Wdth,Dpth,Flow,TSS,TDS
sodak_rv,4071584,8-Apr,perennial,before,4,45 43.715N,97 10.707W,Roberts,South Dakota,0.318,0.62,0.01,0.046,545,6.04,9.162,10.274,1206.8,8.144,14.952,21.02,1.38,13.6,0.006,13.65,1042.6
sodak_rv,4071584,8-Jun,perennial,after,6,45 43.715N,97 10.707W,Roberts,South Dakota,0.318,0.62,0.01,0.046,545,6.04,9.162,10.274,1206.8,8.144,14.952,21.02,1.38,13.6,0.006,13.65,1042.6
sodak_rv,4071838,8-Apr,perennial,before,4,45 35.190N,97 05.245W,Roberts,South Dakota,0.25,0.2,0.01,0.036,76,4.5,1.138,9.774,694.8,8.302,14.534,19,1.34,16.8,0.002,1.31,507
sodak_rv,4071838,8-Jun,perennial,after,6,45 35.190N,97 05.245W,Roberts,South Dakota,0.25,0.2,0.01,0.036,76,4.5,1.138,9.774,694.8,8.302,14.534,19,1.34,16.8,0.002,1.31,507
sodak_rv,4081872,8-Jun,perennial,before,6,45 27.183N,97 00.944W,Roberts,South Dakota,0.388,0.2,0.032,0.048,205,6.98,4.112,10.4,1232.8,7.97,14.694,21.24,1.52,12.6,0,6.546,1814.6
sodak_rv,4081872,8-Aug,perennial,after,8,45 27.183N,97 00.944W,Roberts,South Dakota,0.388,0.2,0.032,0.048,205,6.98,4.112,10.4,1232.8,7.97,14.694,21.24,1.52,12.6,0,6.546,1814.6
sodak_rv,4081894,8-Apr,perennial,before,4,45 25.354N,97 01.251W,Roberts,South Dakota,0.344,0.1,0.01,0.032,61,4.48,0.812,9.566,1263.6,7.292,12.68,15.64,1.16,10.2,0.004,1.34,1075
sodak_rv,4081894,8-Jun,perennial,after,6,45 25.354N,97 01.251W,Roberts,South Dakota,0.344,0.1,0.01,0.032,61,4.48,0.812,9.566,1263.6,7.292,12.68,15.64,1.16,10.2,0.004,1.34,1075
sodak_rv,4083884,8-Apr,intermittent,before,4,45 27.748N,96 50.868W,Roberts,South Dakota,1.49,0.1,0.01,0.06,5,5.733333333,2.093333333,6.33,1472,7.973333333,12.52333333,13.16666667,18.6,37.66666667,0.01,10.99333333,1197.333333
sodak_rv,4083884,8-Jun,intermittent,after,6,45 27.748N,96 50.868W,Roberts,South Dakota,1.49,0.1,0.01,0.06,5,5.733333333,2.093333333,6.33,1472,7.973333333,12.52333333,13.16666667,18.6,37.66666667,0.01,10.99333333,1197.333333
sodak_rv,4085172,8-May,intermittent,before,5,45 6.907N,96 57.613W,Codington,South Dakota,0.618,0.1,0.01,0.06,28,3.06,1.052,7.6875,851.6,7.78,11.694,14.06,4.16,30.8,0.012,4.184,600.8
sodak_rv,4085172,8-Aug,intermittent,after,8,45 6.907N,96 57.613W,Codington,South Dakota,0.618,0.1,0.01,0.06,28,3.06,1.052,7.6875,851.6,7.78,11.694,14.06,4.16,30.8,0.012,4.184,600.8
sodak_rv,4112628,8-May,perennial,before,5,44 30.872N,96 32.508W,Brookings,South Dakota,0.504,0.12,0.01,0.086,106,5.36,5.006,6.25,657.6,6.916,15.388,18.96,0.47,25.2,0.006,10.188,399.2
sodak_rv,4112628,8-Aug,perennial,after,8,44 30.872N,96 32.508W,Brookings,South Dakota,0.504,0.12,0.01,0.086,106,5.36,5.006,6.25,657.6,6.916,15.388,18.96,0.47,25.2,0.006,10.188,399.2
sodak_rv,9370620,8-Apr,intermittent,before,4,45 12.970N,97 1.381W,Grant,South Dakota,0.88,0.125,0.01,0.08,32.5,2.35,5.135,7.3175,554.75,7.8825,9.22,13.425,5.275,12.75,0.0125,4.775,383.75
sodak_rv,9370620,8-Jun,intermittent,after,6,45 12.970N,97 1.381W,Grant,South Dakota,0.88,0.125,0.01,0.08,32.5,2.35,5.135,7.3175,554.75,7.8825,9.22,13.425,5.275,12.75,0.0125,4.775,383.75
sodak_rv,9370678,8-Apr,intermittent,before,4,45 12.268N,97 1.099W,Codington,South Dakota,1.14,0.1,0.01,0.06,162.5,3.15,4.64,6.9325,516.75,7.92,12.385,15.1,3.7,20.75,0.01,13.62,384.75
sodak_rv,9370678,8-Jun,intermittent,after,6,45 12.268N,97 1.099W,Codington,South Dakota,1.14,0.1,0.01,0.06,162.5,3.15,4.64,6.9325,516.75,7.92,12.385,15.1,3.7,20.75,0.01,13.62,384.75
sodak_rv,9375752,8-Apr,perennial,before,4,44 29.641N,96 37.774W,Brookings,South Dakota,0.532,2.84,0.01,0.088,129,12.68,6.83,9.538,908.8,7.492,14.648,18.52,0.67,20.8,0.004,17.032,745
sodak_rv,9375752,8-Jun,perennial,after,6,44 29.641N,96 37.774W,Brookings,South Dakota,0.532,2.84,0.01,0.088,129,12.68,6.83,9.538,908.8,7.492,14.648,18.52,0.67,20.8,0.004,17.032,745
sodak_rv,11593569,8-Jun,intermittent,before,6,45 38.276N,97 15.070W,Marshall,South Dakota,0.898,0.16,0.012,0.078,71,5.96,3.536,7.79,534.4,8.15,13.72,17.48,1.59,39.6,0.248,4.532,346
sodak_rv,11593569,8-Aug,intermittent,after,8,45 38.276N,97 15.070W,Marshall,South Dakota,0.898,0.16,0.012,0.078,71,5.96,3.536,7.79,534.4,8.15,13.72,17.48,1.59,39.6,0.248,4.532,346
sodak_rv,11601469,8-Apr,intermittent,before,4,45 27.263N,97 07.400W,Roberts,South Dakota,0.608,0.1,0.01,0.114,25,3.16,0.962,8.45,438.8,7.624,15.938,18.64,7.16,17,0.006,1.858,291.2
sodak_rv,11601469,8-Jun,intermittent,after,6,45 27.263N,97 07.400W,Roberts,South Dakota,0.608,0.1,0.01,0.114,25,3.16,0.962,8.45,438.8,7.624,15.938,18.64,7.16,17,0.006,1.858,291.2
sodak_rv,11601585,8-Apr,intermittent,before,4,45 20.906N,97 06.278W,Roberts,South Dakota,0.75,0.1,0.01,0.115,123.75,4.175,4.285,9.93,559,8.06,12.3975,15.64,2.19,18.8,0.006,1.4375,367
sodak_rv,11601585,8-Aug,intermittent,after,8,45 20.906N,97 06.278W,Roberts,South Dakota,0.75,0.1,0.01,0.115,123.75,4.175,4.285,9.93,559,8.06,12.3975,15.64,2.19,18.8,0.006,1.4375,367
sodak_rv,11758554,8-Apr,perennial,before,4,42 51.865N,97 38.181W,Bon Homme,South Dakota,0.974,22.06,0.01,0.522,1178,48.4,346.2,10.924,2917.8,8.316,13.634,16.52,0.93,3.4,0.002,338.16,2406.2
sodak_rv,11758554,8-Aug,perennial,after,8,42 51.865N,97 38.181W,Bon Homme,South Dakota,0.974,22.06,0.01,0.522,1178,48.4,346.2,10.924,2917.8,8.316,13.634,16.52,0.93,3.4,0.002,338.16,2406.2