dataset,site,date_year_month,intermittent_perennial,before_after,month,Lat,Long,County,State,TKN,NO3,NH3,TP,Fecal,Chloride,Turbidity,DO,Cond,pH,TempW,TempA,Wdth,Dpth,Flow,TSS,TDS,Psilometriocnemus,Paraleptophlebia,Stictochironomus,Paratanytarsus,Pseudosuccinea,Eukiefferiella,Tipula,Bezzia,Cricotopus,Baetis,Hyalella,Micropsectra,Sphaerium,Gammarus,Simulium,Diplocladius,Caenis,Gyraulus,Tvetnia,Optioservus,Corynoneura,Paraphaenocladius,Chironomus,Pseudosmittia,Cladotanytarsus,Agabus,Ceratopsyche,Ochrotrichia,Paratendipes
sodak_rv,4071584,8-Apr,perennial,before,4,45 43.715N,97 10.707W,Roberts,South Dakota,0.318,0.62,0.01,0.046,545,6.04,9.162,10.274,1206.8,8.144,14.952,21.02,1.38,13.6,0.006,13.65,1042.6,413.6363636,0,0,0,0,218.1818182,27.27272727,186.3636364,0,0,0,50,27.27272727,0,13.63636364,4.545454545,59.09090909,0,0,245.4545455,0,9.090909091,18.18181818,0,0,0,227.2727273,0,0
sodak_rv,4071838,8-Apr,perennial,before,4,45 35.190N,97 05.245W,Roberts,South Dakota,0.25,0.2,0.01,0.036,76,4.5,1.138,9.774,694.8,8.302,14.534,19,1.34,16.8,0.002,1.31,507,0,0,0,0,1,64,3,52,0,0,1,66,3,0,1,0,8,0,0,65,1,93,0,0,1,0,0,0,1
sodak_rv,4081872,8-Jun,perennial,before,6,45 27.183N,97 00.944W,Roberts,South Dakota,0.388,0.2,0.032,0.048,205,6.98,4.112,10.4,1232.8,7.97,14.694,21.24,1.52,12.6,0,6.546,1814.6,0,0,171.5481172,0,0,0,0,8.368200837,2.092050209,96.23430962,0,0,0,119.2468619,20.92050209,2.092050209,0,0,0,0,0,0,0,0,0,50.20920502,0,0,2.092050209
sodak_rv,4081894,8-Apr,perennial,before,4,45 25.354N,97 01.251W,Roberts,South Dakota,0.344,0.1,0.01,0.032,61,4.48,0.812,9.566,1263.6,7.292,12.68,15.64,1.16,10.2,0.004,1.34,1075,0,0,0,0,2,4,1,9,184,0,1,0,0,0,7,73,0,0,0,0,0,17,0,0,0,1,0,0,5
sodak_rv,4083884,8-Apr,intermittent,before,4,45 27.748N,96 50.868W,Roberts,South Dakota,1.49,0.1,0.01,0.06,5,5.733333333,2.093333333,6.33,1472,7.973333333,12.52333333,13.16666667,18.6,37.66666667,0.01,10.99333333,1197.333333,0,0,0,0,15,0,176,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,2,0,1,0,0,0
sodak_rv,4085172,8-May,intermittent,before,5,45 6.907N,96 57.613W,Codington,South Dakota,0.618,0.1,0.01,0.06,28,3.06,1.052,7.6875,851.6,7.78,11.694,14.06,4.16,30.8,0.012,4.184,600.8,0,1181.818182,6.060606061,0,0,0,0,12.12121212,48.48484848,0,0,72.72727273,0,0,0,0,0,0,0,0,54.54545455,24.24242424,6.060606061,0,36.36363636,18.18181818,0,0,0
sodak_rv,4112628,8-May,perennial,before,5,44 30.872N,96 32.508W,Brookings,South Dakota,0.504,0.12,0.01,0.086,106,5.36,5.006,6.25,657.6,6.916,15.388,18.96,0.47,25.2,0.006,10.188,399.2,0,42.90429043,0,6.600660066,0,0,0,16.50165017,13.20132013,0,0,13.20132013,9.900990099,0,0,3.300330033,9.900990099,0,0,0,62.70627063,0,0,3.300330033,0,6.600660066,0,0,13.20132013
sodak_rv,9370620,8-Apr,intermittent,before,4,45 12.970N,97 1.381W,Grant,South Dakota,0.88,0.125,0.01,0.08,32.5,2.35,5.135,7.3175,554.75,7.8825,9.22,13.425,5.275,12.75,0.0125,4.775,383.75,2163.636364,12.12121212,0,6.060606061,175.7575758,0,0,0,0,0,0,0,0,0,0,42.42424242,0,36.36363636,0,0,0,0,0,0,0,0,0,0,0
sodak_rv,9370678,8-Apr,intermittent,before,4,45 12.268N,97 1.099W,Codington,South Dakota,1.14,0.1,0.01,0.06,162.5,3.15,4.64,6.9325,516.75,7.92,12.385,15.1,3.7,20.75,0.01,13.62,384.75,2454.545455,0,0,0,90.90909091,90.90909091,90.90909091,0,0,0,0,0,0,0,0,227.2727273,0,227.2727273,0,0,90.90909091,0,318.1818182,45.45454545,0,90.90909091,0,0,45.45454545
sodak_rv,9375752,8-Apr,perennial,before,4,44 29.641N,96 37.774W,Brookings,South Dakota,0.532,2.84,0.01,0.088,129,12.68,6.83,9.538,908.8,7.492,14.648,18.52,0.67,20.8,0.004,17.032,745,5,0,7,0,0,0,1,25,27,0,29,15,86,0,38,33,0,8,0,0,0,0,1,12,0,2,0,0,1
sodak_rv,11593569,8-Jun,intermittent,before,6,45 38.276N,97 15.070W,Marshall,South Dakota,0.898,0.16,0.012,0.078,71,5.96,3.536,7.79,534.4,8.15,13.72,17.48,1.59,39.6,0.248,4.532,346,5,0,5,0,0,0,0,0,14,18,8,0,24,0,0,0,1,1,0,5,0,0,0,0,4,1,0,73,1
sodak_rv,11601469,8-Apr,intermittent,before,4,45 27.263N,97 07.400W,Roberts,South Dakota,0.608,0.1,0.01,0.114,25,3.16,0.962,8.45,438.8,7.624,15.938,18.64,7.16,17,0.006,1.858,291.2,11.23595506,0,0,208.988764,2.247191011,0,0,11.23595506,76.40449438,0,123.5955056,0,24.71910112,0,4.494382022,4.494382022,33.70786517,0,0,6.741573034,8.988764045,0,0,8.988764045,0,2.247191011,4.494382022,0,6.741573034
sodak_rv,11601585,8-Apr,intermittent,before,4,45 20.906N,97 06.278W,Roberts,South Dakota,0.75,0.1,0.01,0.115,123.75,4.175,4.285,9.93,559,8.06,12.3975,15.64,2.19,18.8,0.006,1.4375,367,217.3913043,7.246376812,0,0,14.49275362,14.49275362,101.4492754,7.246376812,231.884058,0,0,0,0,0,0,86.95652174,0,0,449.2753623,0,36.23188406,0,0,7.246376812,36.23188406,21.73913043,0,0,7.246376812
sodak_rv,11758554,8-Apr,perennial,before,4,42 51.865N,97 38.181W,Bon Homme,South Dakota,0.974,22.06,0.01,0.522,1178,48.4,346.2,10.924,2917.8,8.316,13.634,16.52,0.93,3.4,0.002,338.16,2406.2,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
